,age,gender,employment_years,employment_status,monthly_income,monthly_expenses,credit_history_years,past_default,residence_type,loan_amount,education,loan_intent,interest_rate,loan_percent_income,credit_score,loan_status,expense_to_income
16,24,0,1.0,1,3792.83,2092.84,2.0,1,0,25000.0,4,3,10.08,6.59,568.0,0,0.55
17,26,0,0.0,2,3359.17,1899.1,5.0,1,0,22089.0,1,1,7.36,6.58,621.0,0,0.57
18,30,1,7.0,0,3698.42,2766.26,7.0,0,3,24250.0,1,0,12.61,6.56,655.0,1,0.75
19,23,1,0.0,2,2768.92,2289.3,4.0,0,3,18000.0,0,5,11.54,6.5,679.0,1,0.83
20,31,1,8.0,0,3115.92,2419.21,5.0,0,3,20200.0,0,4,14.74,6.48,589.0,1,0.78
21,25,0,3.0,0,1948.83,1709.54,4.0,0,3,12589.0,3,5,7.96,6.46,494.0,1,0.88
22,33,1,8.0,0,1114.67,503.57,8.0,0,2,7200.0,1,5,6.03,6.46,715.0,1,0.45
23,23,1,1.0,1,3058.08,2144.8,4.0,0,3,19750.0,1,5,11.14,6.46,660.0,1,0.7
24,30,1,8.0,0,3123.42,2725.9,5.0,0,3,20134.0,0,5,14.21,6.45,613.0,1,0.87
25,31,1,10.0,0,3138.5,2274.37,8.0,0,3,20200.0,3,4,14.74,6.44,604.0,1,0.72
26,23,1,2.0,1,3075.92,2105.08,4.0,0,3,19750.0,3,5,11.14,6.42,618.0,1,0.68
27,30,0,4.0,0,3553.83,2536.44,10.0,1,0,22750.0,1,2,10.09,6.4,584.0,0,0.71
28,27,1,4.0,0,1271.42,726.84,5.0,0,3,8118.0,1,1,14.34,6.39,674.0,1,0.57
29,22,1,2.0,1,2676.17,2059.35,4.0,0,0,17000.0,3,5,12.84,6.35,634.0,1,0.77
30,24,1,1.0,1,5511.25,4257.39,4.0,0,3,35000.0,4,3,14.27,6.35,586.0,1,0.77
31,21,1,0.0,2,2363.92,1069.79,2.0,1,2,15000.0,0,1,8.94,6.35,600.0,0,0.45
32,30,0,5.0,0,3586.33,2692.26,10.0,1,0,22750.0,4,0,10.62,6.34,649.0,0,0.75
33,25,1,1.0,1,3601.58,2953.4,5.0,0,3,22807.0,0,3,12.67,6.33,668.0,1,0.82
34,28,0,6.0,0,3070.83,2815.01,4.0,0,3,19425.0,3,5,9.74,6.33,607.0,1,0.92
35,22,1,0.0,2,1107.83,766.77,2.0,0,3,7000.0,4,2,12.21,6.32,652.0,1,0.69
36,22,0,2.0,1,3976.33,2296.48,3.0,0,2,25000.0,1,1,16.08,6.29,685.0,1,0.58
37,23,0,1.0,1,3596.17,2589.01,3.0,1,0,22550.0,3,1,15.96,6.27,460.0,0,0.72
38,28,1,8.0,0,3432.67,2538.39,7.0,0,0,21443.0,4,5,9.1,6.25,656.0,0,0.74
39,24,1,6.0,0,4664.92,3116.75,2.0,0,0,29100.0,0,4,12.99,6.24,601.0,1,0.67
40,28,1,4.0,0,4010.67,2146.82,6.0,1,0,25000.0,2,0,11.31,6.23,666.0,0,0.54
41,27,1,4.0,0,1306.25,1098.42,5.0,0,2,8125.0,4,1,14.42,6.22,505.0,1,0.84
42,24,1,2.0,1,4710.5,3181.49,2.0,0,3,29227.0,0,1,13.75,6.2,642.0,1,0.68
43,23,1,1.0,1,3586.83,2444.97,3.0,0,3,22250.0,1,0,12.69,6.2,678.0,1,0.68
44,27,0,6.0,0,3435.0,2407.47,6.0,1,2,21250.0,4,4,8.88,6.19,666.0,0,0.7
45,26,0,7.0,0,3089.25,2608.34,3.0,0,3,19075.0,0,0,7.49,6.17,588.0,1,0.84
46,34,1,12.0,0,4051.58,3130.8,8.0,0,3,25000.0,0,3,10.25,6.17,638.0,1,0.77
47,30,1,7.0,0,1500.17,1202.3,10.0,0,2,9250.0,1,2,14.96,6.17,683.0,1,0.8
48,31,0,4.0,0,3345.75,2994.56,6.0,0,3,20500.0,3,0,11.03,6.13,614.0,1,0.9
49,34,1,14.0,0,4085.83,2880.69,5.0,0,3,25000.0,0,1,10.25,6.12,611.0,1,0.71
50,22,0,0.0,2,4905.67,4173.28,2.0,0,3,30000.0,1,1,18.39,6.12,606.0,1,0.85
51,29,1,7.0,0,4090.0,3104.36,6.0,1,0,25000.0,1,2,11.86,6.11,714.0,0,0.76
52,29,1,7.0,0,4102.83,2178.85,7.0,1,0,25000.0,0,4,11.86,6.09,650.0,0,0.53
53,23,0,0.0,2,3284.67,2853.13,4.0,0,3,20000.0,3,0,12.61,6.09,593.0,1,0.87
54,22,0,0.0,2,2470.25,2214.28,4.0,0,3,15000.0,1,4,12.73,6.07,689.0,1,0.9
55,22,1,0.0,2,1981.83,798.93,2.0,0,2,12000.0,1,5,5.42,6.05,635.0,1,0.4
56,22,0,1.0,1,895.67,966.37,4.0,0,3,5400.0,3,5,7.75,6.03,678.0,1,1.08
57,28,0,8.0,0,3691.17,2357.13,5.0,0,0,22230.0,3,5,14.08,6.02,610.0,0,0.64
58,22,1,0.0,2,1997.58,849.32,4.0,0,2,12000.0,3,4,5.42,6.01,557.0,1,0.43
59,25,1,3.0,0,1318.58,1050.59,5.0,0,3,7913.0,3,1,11.92,6.0,525.0,1,0.8
60,26,1,4.0,0,1780.08,1033.51,3.0,0,3,10625.0,1,4,11.01,5.97,669.0,1,0.58
61,24,1,3.0,0,4192.42,2720.67,3.0,0,3,25000.0,0,2,11.01,5.96,625.0,1,0.65
62,37,1,12.0,0,3941.08,3475.11,16.0,0,3,23500.0,3,1,11.01,5.96,509.0,1,0.88
63,31,1,9.0,0,3724.33,2879.73,8.0,1,0,22118.0,0,1,12.4,5.94,503.0,0,0.77
64,21,1,0.0,2,3544.67,3134.82,4.0,0,3,21000.0,3,5,12.53,5.92,687.0,1,0.88
65,34,0,10.0,0,3974.33,2961.7,13.0,0,3,23500.0,3,1,11.06,5.91,646.0,1,0.75
66,23,0,0.0,2,3386.0,2452.59,2.0,0,3,20000.0,3,1,16.0,5.91,649.0,1,0.72
67,31,0,10.0,0,1356.83,1364.76,10.0,0,3,8000.0,3,5,12.84,5.9,623.0,1,1.01
68,34,1,11.0,0,3063.75,2490.07,5.0,0,0,18000.0,0,0,12.84,5.88,635.0,0,0.81
69,24,0,0.0,2,3406.75,2973.95,3.0,0,3,20000.0,0,0,10.99,5.87,600.0,1,0.87
70,33,1,8.0,0,3064.83,2160.67,8.0,0,3,17975.0,1,0,8.49,5.86,696.0,1,0.7
71,23,0,0.0,2,2047.67,1418.89,4.0,0,3,12000.0,4,5,6.28,5.86,587.0,1,0.69
72,34,1,11.0,0,3074.42,2493.09,10.0,1,0,18000.0,1,1,12.84,5.85,590.0,0,0.81
73,33,0,10.0,0,5472.0,3930.85,7.0,0,0,32000.0,4,3,15.23,5.85,677.0,1,0.72
74,31,0,10.0,0,3767.67,2757.84,6.0,0,0,22000.0,1,5,12.73,5.84,670.0,0,0.73
75,22,0,0.0,2,5995.67,4444.36,3.0,0,3,35000.0,4,4,16.02,5.84,561.0,1,0.74
76,31,0,9.0,0,3771.33,3050.44,7.0,1,0,22000.0,0,0,12.73,5.83,708.0,0,0.81
77,30,0,6.0,0,2404.08,2117.02,6.0,0,3,14000.0,1,5,7.88,5.82,614.0,1,0.88
78,33,0,7.0,0,5496.0,4766.63,7.0,0,0,32000.0,4,0,15.23,5.82,545.0,1,0.87
79,26,1,0.0,2,2878.83,1474.44,4.0,0,2,16750.0,4,1,7.88,5.82,546.0,0,0.51
80,30,0,5.0,0,4072.0,3182.17,8.0,0,3,23687.0,3,1,11.01,5.82,627.0,1,0.78
81,22,1,0.0,2,4300.67,3065.66,2.0,0,3,25000.0,1,3,14.59,5.81,593.0,1,0.71
82,25,0,3.0,0,4312.25,3474.95,3.0,0,3,25000.0,0,1,16.35,5.8,697.0,1,0.81
83,21,0,0.0,2,4189.5,2253.02,2.0,1,0,24250.0,3,5,10.75,5.79,644.0,0,0.54
84,25,0,2.0,1,3455.67,2301.99,4.0,0,3,20000.0,0,2,8.88,5.79,591.0,1,0.67
85,29,1,4.0,0,2955.67,2407.07,5.0,1,0,17078.0,4,5,9.18,5.78,668.0,0,0.81
86,21,0,3.0,0,4326.83,2934.71,3.0,0,3,25000.0,1,1,12.73,5.78,673.0,1,0.68
87,25,1,0.0,2,3463.08,2287.17,3.0,0,3,20000.0,3,1,8.88,5.78,648.0,1,0.66
88,32,0,11.0,0,3095.75,1571.3,5.0,0,2,17875.0,0,2,6.99,5.77,655.0,0,0.51
89,23,1,0.0,2,3210.67,1859.63,4.0,0,0,18500.0,1,1,11.01,5.76,723.0,0,0.58
90,22,1,0.0,2,2832.08,2000.74,4.0,0,3,16300.0,0,0,11.01,5.76,643.0,1,0.71
91,29,0,5.0,0,4086.5,3126.69,8.0,0,3,23500.0,1,0,11.12,5.75,581.0,1,0.77
92,28,1,9.0,0,6088.25,4608.6,6.0,0,0,35000.0,1,1,10.59,5.75,659.0,0,0.76
93,25,1,3.0,0,2088.25,1814.36,2.0,0,3,12000.0,4,3,8.07,5.75,694.0,1,0.87
94,25,1,0.0,2,2094.08,1447.35,4.0,0,3,12000.0,0,5,8.07,5.73,593.0,1,0.69
95,22,1,0.0,2,6124.42,4972.57,3.0,0,0,35000.0,3,3,16.89,5.71,616.0,1,0.81
96,25,1,3.0,0,3150.08,2195.75,6.0,0,3,18000.0,1,3,12.34,5.71,609.0,1,0.7
97,25,1,2.0,1,3506.42,2358.22,2.0,0,3,20000.0,3,0,8.88,5.7,538.0,1,0.67
98,29,0,4.0,0,3520.83,2496.75,10.0,0,2,20000.0,0,5,7.29,5.68,648.0,0,0.71
99,21,1,1.0,1,3171.75,2090.53,4.0,0,3,18000.0,1,1,13.48,5.68,693.0,1,0.66
100,27,0,3.0,0,4185.33,3296.05,6.0,0,0,23737.0,0,5,11.52,5.67,667.0,0,0.79
101,23,1,2.0,1,2482.33,1748.24,4.0,0,3,14075.0,0,5,11.01,5.67,580.0,1,0.7
102,24,0,5.0,0,3640.33,2735.64,4.0,0,3,20575.0,0,0,12.57,5.65,650.0,1,0.75
103,29,0,4.0,0,3158.5,2850.95,7.0,0,3,17829.0,1,3,10.96,5.64,620.0,1,0.9
104,29,0,5.0,0,3188.83,2076.78,7.0,0,3,18000.0,1,0,10.75,5.64,647.0,1,0.65
105,27,1,7.0,0,1419.67,899.83,5.0,0,3,8000.0,1,3,12.18,5.64,654.0,1,0.63
106,23,0,0.0,2,4441.17,3559.42,3.0,0,0,25000.0,3,0,11.01,5.63,680.0,1,0.8
107,34,0,10.0,0,3979.92,2840.5,9.0,0,3,22400.0,1,2,11.01,5.63,494.0,1,0.71
108,23,0,3.0,0,2503.42,1606.75,4.0,0,3,14075.0,0,5,11.01,5.62,703.0,1,0.64
109,47,1,27.0,0,3913.92,3195.93,17.0,0,3,22000.0,4,3,18.78,5.62,661.0,1,0.82
110,48,0,27.0,0,2135.17,1854.59,12.0,0,3,12000.0,3,3,7.49,5.62,656.0,1,0.87
111,34,1,14.0,0,3489.67,2536.4,8.0,0,3,19594.0,1,0,12.03,5.61,707.0,1,0.73
112,22,1,0.0,2,4220.58,2844.05,3.0,1,0,23666.0,3,5,10.86,5.61,583.0,0,0.67
113,23,1,0.0,2,2511.5,1796.46,3.0,0,3,14075.0,3,5,11.01,5.6,650.0,1,0.72
114,22,0,0.0,2,4357.0,3614.31,3.0,0,3,24413.0,1,0,14.16,5.6,672.0,1,0.83
115,26,0,7.0,0,3036.17,2438.51,2.0,0,3,17000.0,1,2,12.99,5.6,724.0,1,0.8
116,24,1,3.0,0,4477.17,3239.61,3.0,0,0,25000.0,4,0,15.58,5.58,663.0,1,0.72
117,21,1,0.0,2,1345.42,1348.15,4.0,0,3,7500.0,4,1,7.05,5.57,521.0,1,1.0
118,24,1,2.0,1,4485.42,2823.51,2.0,0,3,25000.0,1,0,15.33,5.57,652.0,1,0.63
119,39,0,18.0,0,3476.08,3220.4,11.0,0,3,19353.0,1,0,14.13,5.57,680.0,1,0.93
120,40,0,17.0,0,3464.75,2622.79,11.0,0,3,19275.0,0,1,14.5,5.56,664.0,1,0.76
121,46,1,24.0,0,4884.83,2374.02,13.0,1,2,27175.0,4,5,8.49,5.56,659.0,0,0.49
122,33,1,12.0,0,2698.75,2231.33,6.0,0,0,15000.0,4,0,9.76,5.56,684.0,1,0.83
123,26,0,4.0,0,1425.0,759.15,5.0,0,3,7913.0,3,2,13.89,5.55,597.0,1,0.53
124,24,1,0.0,2,3607.25,2526.58,4.0,0,3,20000.0,4,3,12.53,5.54,600.0,1,0.7
125,24,0,2.0,1,1327.92,1335.6,2.0,0,3,7350.0,1,5,6.92,5.53,710.0,1,1.01
126,31,0,8.0,0,3983.42,3441.07,5.0,0,0,22000.0,3,1,11.36,5.52,680.0,1,0.86
127,24,1,3.0,0,4482.83,2888.84,2.0,0,0,24748.0,3,0,14.27,5.52,624.0,1,0.64
128,23,1,2.0,1,3449.83,2491.45,4.0,1,0,19000.0,3,0,11.48,5.51,626.0,0,0.72
129,25,0,5.0,0,1453.42,1480.57,5.0,0,3,8000.0,1,2,11.1,5.5,676.0,1,1.02
130,29,1,5.0,0,3246.58,2728.93,8.0,0,3,17868.0,4,5,11.11,5.5,718.0,1,0.84
131,54,1,34.0,0,5427.92,3872.01,28.0,0,3,29850.0,3,2,11.01,5.5,637.0,1,0.71
132,24,0,4.0,0,3092.58,2034.06,3.0,0,0,17000.0,3,0,11.99,5.5,641.0,1,0.66
133,22,1,1.0,1,1365.67,1362.55,5.0,0,3,7502.0,1,5,7.06,5.49,692.0,1,1.0
134,33,0,10.0,0,2654.83,2022.96,6.0,0,3,14559.0,3,4,9.23,5.48,653.0,1,0.76
135,22,0,0.0,2,4383.0,4014.69,3.0,0,3,24000.0,1,0,13.85,5.48,693.0,1,0.92
136,24,0,1.0,1,4394.0,2294.5,2.0,1,0,24000.0,1,1,10.62,5.46,493.0,0,0.52
137,24,0,0.0,2,4394.67,2823.0,2.0,1,0,24000.0,3,0,10.62,5.46,604.0,0,0.64
138,26,1,3.0,0,3551.92,2305.89,7.0,1,0,19279.0,1,4,7.39,5.43,524.0,0,0.65
139,21,1,0.0,2,3685.5,2884.17,2.0,0,3,20000.0,1,3,11.01,5.43,637.0,1,0.78
140,24,0,1.0,1,6450.67,4698.39,3.0,0,0,35000.0,1,3,11.01,5.43,661.0,1,0.73
141,22,1,1.0,1,1236.67,761.61,4.0,0,3,6700.0,1,1,7.66,5.42,543.0,1,0.62
142,23,0,0.0,2,4530.92,2973.57,2.0,0,0,24511.0,1,0,15.8,5.41,501.0,1,0.66
143,29,0,7.0,0,3703.58,2105.51,6.0,0,0,20000.0,0,4,11.01,5.4,644.0,0,0.57
144,37,1,16.0,0,5568.08,3914.86,15.0,0,3,30007.0,3,3,9.93,5.39,673.0,1,0.7
145,21,1,1.0,1,2698.25,1780.15,2.0,0,0,14500.0,3,3,14.61,5.37,499.0,1,0.66
146,27,0,8.0,0,3298.83,2166.7,8.0,0,3,17725.0,0,3,11.49,5.37,617.0,1,0.66
147,23,1,0.0,2,2364.08,1512.1,4.0,0,3,12700.0,3,1,14.27,5.37,639.0,1,0.64
148,27,0,5.0,0,3301.25,3047.89,7.0,0,3,17725.0,4,3,11.49,5.37,637.0,1,0.92
149,24,1,4.0,0,4469.42,3994.2,2.0,0,3,23975.0,0,2,11.01,5.36,678.0,1,0.89
150,34,1,11.0,0,4248.25,2879.36,10.0,0,2,22750.0,1,5,6.91,5.36,679.0,0,0.68
151,24,0,1.0,1,3548.25,3209.32,2.0,0,3,19000.0,1,0,11.36,5.35,677.0,1,0.9
152,28,0,4.0,0,887.42,1022.97,5.0,0,3,4750.0,0,2,11.12,5.35,587.0,1,1.15
153,32,0,10.0,0,3737.25,2727.36,8.0,0,3,20000.0,4,0,11.01,5.35,629.0,1,0.73
154,25,1,1.0,1,4482.33,2856.02,4.0,0,3,23982.0,0,0,10.43,5.35,588.0,1,0.64
155,29,0,7.0,0,4486.67,2845.38,8.0,1,0,24000.0,0,3,6.91,5.35,680.0,0,0.63
156,25,0,1.0,1,2479.25,1868.44,2.0,0,3,13250.0,0,5,10.37,5.34,654.0,1,0.75
157,26,0,1.0,1,4490.92,3482.73,6.0,0,3,23987.0,3,0,10.01,5.34,555.0,1,0.78
158,37,0,13.0,0,5617.67,4583.5,15.0,0,3,30000.0,3,0,9.91,5.34,637.0,1,0.82
159,27,1,6.0,0,4497.67,2725.89,9.0,0,0,24000.0,3,0,8.88,5.34,633.0,1,0.61
160,39,1,15.0,0,5608.83,5017.95,16.0,0,3,29925.0,4,2,13.74,5.34,723.0,1,0.89
161,25,0,4.0,0,3561.17,2481.09,3.0,0,3,19000.0,3,3,11.63,5.34,657.0,1,0.7
162,26,1,5.0,0,5869.5,3768.17,3.0,1,0,31300.0,2,3,11.71,5.33,693.0,0,0.64
163,25,0,0.0,2,4690.42,3165.02,3.0,1,2,25000.0,0,4,12.18,5.33,645.0,0,0.67
164,26,0,2.0,1,4504.58,3096.35,7.0,0,3,24000.0,4,0,11.27,5.33,543.0,1,0.69
165,26,0,2.0,1,4693.75,3912.38,4.0,0,3,25000.0,2,0,11.86,5.33,690.0,1,0.83
166,25,0,6.0,0,4508.08,4107.02,7.0,0,3,24000.0,3,0,11.36,5.32,721.0,1,0.91
167,29,0,2.0,1,3757.0,2490.43,7.0,0,3,20000.0,0,3,13.17,5.32,689.0,1,0.66
168,24,1,2.0,1,1453.33,1150.99,5.0,0,3,7724.0,0,2,16.89,5.31,635.0,1,0.79
169,45,1,25.0,0,3763.75,3001.22,15.0,0,3,20000.0,2,2,11.71,5.31,579.0,1,0.8
170,25,0,3.0,0,1036.5,978.48,3.0,0,0,5500.0,3,3,12.87,5.31,635.0,1,0.94
171,23,1,0.0,2,3404.67,2807.46,4.0,0,3,18041.0,3,3,9.97,5.3,638.0,1,0.82
172,24,1,0.0,2,1888.67,1575.67,2.0,0,0,10000.0,3,0,12.18,5.29,649.0,1,0.83
173,32,0,8.0,0,3728.92,3223.69,8.0,0,3,19718.0,3,2,12.2,5.29,580.0,1,0.86
174,24,1,0.0,2,3503.5,2962.73,2.0,0,3,18500.0,1,3,10.71,5.28,640.0,1,0.85
175,28,1,2.0,1,5677.83,4410.31,6.0,0,3,29978.0,0,2,15.66,5.28,660.0,1,0.78
176,25,0,4.0,0,3314.92,2271.68,3.0,0,3,17500.0,0,2,15.95,5.28,594.0,1,0.69
177,30,1,8.0,0,4272.17,3469.23,8.0,1,0,22539.0,3,5,8.69,5.28,550.0,0,0.81
178,22,0,4.0,0,2890.58,2560.96,4.0,0,3,15250.0,0,5,16.7,5.28,670.0,1,0.89
179,25,1,0.0,2,1894.58,1081.31,3.0,0,3,9988.0,4,2,12.07,5.27,687.0,1,0.57
180,24,0,1.0,1,1897.08,1863.42,4.0,0,3,10000.0,1,2,7.29,5.27,661.0,1,0.98
181,23,0,0.0,2,6646.08,5451.77,2.0,0,3,35000.0,1,3,15.23,5.27,675.0,1,0.82
182,41,0,20.0,0,4750.67,3943.12,15.0,0,3,25000.0,0,3,12.39,5.26,728.0,1,0.83
183,28,0,4.0,0,2850.75,2276.27,10.0,0,0,15000.0,3,5,6.54,5.26,644.0,0,0.8
184,27,0,2.0,1,4752.42,3066.39,10.0,0,3,25000.0,1,5,15.7,5.26,645.0,1,0.65
185,23,1,0.0,2,5709.33,4335.66,2.0,0,0,30000.0,3,3,16.49,5.25,655.0,1,0.76
186,22,1,0.0,2,3809.67,2410.5,3.0,0,3,20000.0,3,0,16.69,5.25,447.0,1,0.63
187,23,1,0.0,2,1519.5,1161.33,4.0,0,3,7976.0,1,4,10.69,5.25,649.0,1,0.76
188,23,0,3.0,0,3429.42,2366.13,4.0,0,3,18000.0,1,5,9.91,5.25,662.0,1,0.69
189,23,1,0.0,2,4776.5,3057.15,2.0,0,3,25000.0,0,5,17.93,5.23,679.0,1,0.64
190,41,0,20.0,0,4779.0,3999.31,15.0,0,3,25000.0,1,5,12.47,5.23,556.0,1,0.84
191,21,1,2.0,1,2485.25,2012.7,2.0,0,3,13000.0,4,0,12.87,5.23,698.0,1,0.81
192,23,0,0.0,2,3061.17,2688.62,2.0,0,3,16000.0,1,1,13.23,5.23,570.0,1,0.88
193,21,0,0.0,2,4592.75,4245.36,2.0,0,3,24000.0,4,1,16.29,5.23,645.0,1,0.92
194,23,1,0.0,2,3506.58,2320.18,3.0,0,3,18323.0,3,5,10.38,5.23,694.0,1,0.66
195,27,0,4.0,0,4787.25,3629.43,9.0,0,0,25000.0,1,0,14.96,5.22,662.0,1,0.76
196,40,1,18.0,0,4595.83,3726.65,11.0,0,3,24000.0,0,1,10.65,5.22,621.0,1,0.81
197,23,1,0.0,2,4787.42,3351.67,3.0,0,0,25000.0,4,3,7.49,5.22,705.0,1,0.7
198,27,1,5.0,0,3064.42,2779.04,6.0,0,3,16000.0,3,0,10.99,5.22,663.0,1,0.91
199,26,1,0.0,2,4789.67,3581.47,7.0,0,3,25000.0,1,5,11.99,5.22,543.0,1,0.75
200,22,1,0.0,2,1283.92,1297.04,4.0,0,3,6700.0,3,3,7.66,5.22,521.0,1,1.01
201,22,1,0.0,2,1535.0,853.89,4.0,0,3,8000.0,0,2,9.99,5.21,609.0,1,0.56
202,26,0,0.0,2,3070.33,2186.16,5.0,0,3,16000.0,1,0,12.0,5.21,620.0,1,0.71
203,22,1,0.0,2,4415.33,3878.91,3.0,0,3,23000.0,3,4,11.01,5.21,621.0,1,0.88
204,21,0,0.0,2,2495.67,1727.29,3.0,0,3,13000.0,4,5,15.7,5.21,703.0,1,0.69
205,23,1,0.0,2,1488.25,821.14,4.0,0,2,7750.0,3,4,17.04,5.21,626.0,1,0.55
206,25,1,1.0,1,4277.08,2761.31,4.0,1,0,22267.0,3,5,11.14,5.21,705.0,0,0.65
207,30,0,6.0,0,3649.92,2668.6,7.0,0,3,19000.0,0,1,13.72,5.21,645.0,1,0.73
208,26,0,2.0,1,4861.08,3198.65,2.0,0,3,25297.0,1,1,18.43,5.2,543.0,1,0.66
209,42,1,23.0,0,4805.33,3044.78,15.0,0,3,25000.0,1,3,12.18,5.2,610.0,1,0.63
210,24,1,2.0,1,4277.25,2379.89,3.0,1,0,22250.0,3,0,11.11,5.2,659.0,0,0.56
211,41,1,22.0,0,3814.92,3179.99,16.0,0,3,19844.0,3,0,13.1,5.2,584.0,1,0.83
212,41,1,19.0,0,4383.92,3045.96,11.0,1,2,22800.0,0,5,12.21,5.2,651.0,0,0.69
213,37,0,17.0,0,4086.25,3690.83,16.0,0,3,21250.0,1,5,12.99,5.2,654.0,1,0.9
214,29,1,6.0,0,2533.0,1641.87,5.0,0,3,13167.0,3,5,9.4,5.2,620.0,1,0.65
215,40,1,18.0,0,1539.5,980.95,12.0,0,2,8000.0,0,2,7.14,5.2,487.0,1,0.64
216,27,0,7.0,0,3079.33,2201.64,8.0,0,3,16000.0,3,3,7.9,5.2,598.0,1,0.71
217,22,0,1.0,1,3512.42,2304.64,3.0,0,3,18250.0,3,5,10.25,5.2,571.0,1,0.66
218,24,1,1.0,1,4284.75,2737.32,2.0,1,0,22250.0,1,5,11.11,5.19,659.0,0,0.64
219,26,0,0.0,2,4821.33,3118.69,2.0,0,3,25000.0,3,2,15.28,5.19,602.0,1,0.65
220,25,1,4.0,0,3858.58,3397.68,4.0,0,3,20000.0,1,3,14.39,5.18,666.0,1,0.88
221,25,0,3.0,0,3521.08,2887.42,3.0,0,3,18250.0,4,5,17.04,5.18,587.0,1,0.82
222,29,0,10.0,0,2843.25,1685.39,8.0,0,2,14735.0,4,1,9.04,5.18,684.0,0,0.59
223,22,0,0.0,2,2895.58,2093.75,2.0,0,3,15000.0,1,1,10.99,5.18,543.0,1,0.72
224,28,0,7.0,0,3860.83,2124.02,5.0,1,2,20000.0,0,3,11.48,5.18,568.0,0,0.55
225,25,0,3.0,0,3550.5,2410.99,3.0,0,3,18388.0,3,5,13.56,5.18,621.0,1,0.68
226,37,0,10.0,0,4081.67,3715.33,14.0,0,3,21137.0,0,1,15.9,5.18,611.0,1,0.91
227,25,1,2.0,1,3864.58,3319.71,4.0,0,3,20000.0,1,3,14.59,5.18,654.0,1,0.86
228,22,1,0.0,2,4407.08,1936.38,2.0,0,2,22800.0,1,5,12.69,5.17,627.0,0,0.44
229,36,0,11.0,0,3875.5,2593.52,16.0,0,3,20000.0,1,5,12.41,5.16,669.0,1,0.67
230,25,0,0.0,2,3881.0,2901.79,2.0,0,3,20000.0,3,3,13.47,5.15,601.0,1,0.75
231,30,0,8.0,0,2638.17,1925.17,9.0,1,2,13595.0,1,5,12.23,5.15,465.0,0,0.73
232,38,1,15.0,0,3833.33,2919.06,16.0,0,3,19750.0,0,5,13.92,5.15,585.0,1,0.76
233,26,0,6.0,0,4077.42,3200.32,4.0,0,3,21000.0,1,3,6.54,5.15,601.0,1,0.78
234,22,0,0.0,2,6604.58,5800.55,4.0,0,3,34000.0,4,1,17.58,5.15,691.0,1,0.88
235,25,1,2.0,1,3886.33,2861.48,2.0,0,3,20000.0,0,3,13.11,5.15,614.0,1,0.74
236,27,0,9.0,0,3109.25,2364.5,5.0,0,3,16000.0,1,3,10.0,5.15,644.0,1,0.76
237,32,1,7.0,0,2673.33,1783.3,10.0,1,2,13750.0,1,5,13.11,5.14,662.0,0,0.67
238,31,0,10.0,0,2658.58,1688.01,10.0,1,2,13672.0,3,5,12.66,5.14,637.0,0,0.63
239,25,1,3.0,0,3890.25,3295.85,4.0,0,3,20000.0,1,3,11.11,5.14,636.0,1,0.85
240,33,1,9.0,0,4084.92,3037.98,9.0,0,3,21000.0,1,5,15.4,5.14,547.0,1,0.74
241,22,0,0.0,2,3600.67,2104.22,3.0,0,2,18500.0,3,1,7.49,5.14,608.0,0,0.58
